Unnamed: 0,City,Address,Type,Price,Rooms,Build Size,Floor,מזגן,חניה,סורגים,מרוהטת,משופצת,מחסן,מעלית,"ממ""ד",נגישות,מרפסת
57,תל אביב יפו,המלך ג'ורג' 74,דירה,10000,3.0,95,3,1,1,0,0,1,0,1,1,0,1
58,תל אביב יפו,אליעזר קשאני 13,דירה,8000,4.0,90,1,1,1,1,1,1,1,1,0,0,0
59,תל אביב יפו,יהושע בן נון 27,דירה,11000,3.0,80,3,1,1,0,0,1,0,0,0,0,1
60,תל אביב יפו,זרובבל 14,דירה,9350,1.0,85,1,1,1,0,1,1,0,1,0,1,1
61,תל אביב יפו,קהילת קנדה 1,דירה,4500,2.0,65,1,1,0,1,1,1,1,0,0,0,0
62,תל אביב יפו,הרב יצחק ידידיה פרנקל 50,דירה,7000,2.0,56,1,1,0,0,0,1,0,0,0,0,1
63,תל אביב יפו,פנקס 29,דירה,8000,2.0,70,3,1,1,0,0,0,0,0,0,0,1
64,תל אביב יפו,אבן גבירול 79,דירה,4400,1.0,25,0,1,0,1,1,0,1,0,0,0,0
65,תל אביב יפו,השוק 8,דירה,4750,1.0,35,1,1,0,0,0,0,0,0,0,0,0
66,תל אביב יפו,האדריכל ברוך ספיר 3,דירת גן,5150,2.0,45,1,1,0,1,0,1,0,0,0,0,1
67,תל אביב יפו,זלמן שניאור 21,דירה,3600,1.0,25,1,1,0,0,1,0,0,0,0,0,0
68,תל אביב יפו,ליאון בלום 26,דירה,6200,2.5,55,3,1,0,0,1,0,0,0,0,0,1
69,תל אביב יפו,שבטי ישראל 25,דירת גן,6800,2.0,70,1,1,0,1,0,1,1,0,0,0,0
70,תל אביב יפו,ירמיהו 40,דירת גן,6400,2.0,40,0,1,0,1,1,1,0,0,0,0,1
71,תל אביב יפו,צידון 16,דירת גן,11500,4.0,80,0,1,0,1,1,1,0,0,0,1,1
72,תל אביב יפו,גדרה 6,דירה,3000,1.0,22,0,1,0,0,0,1,0,0,0,0,0
73,תל אביב יפו,"אח""י דקר 14",דירת גן,5200,2.5,100,1,1,0,0,0,0,0,0,0,1,1
74,תל אביב יפו,פרץ חיות 20,סאבלט,7500,2.0,55,0,1,0,1,1,0,0,0,0,0,1
75,תל אביב יפו,יהודה בורלא 18,דירה,9500,4.5,110,2,1,1,1,1,1,0,1,0,0,0
76,תל אביב יפו,הרב צירלסון 22,דירה,7700,2.5,75,2,1,0,0,0,0,0,0,0,0,0
77,תל אביב יפו,מיטב 5,דירה,8500,3.0,98,1,1,1,0,0,1,0,1,0,0,1
78,תל אביב יפו,פרוג 27,דירת גן,11250,3.0,180,0,1,1,1,1,1,1,0,0,0,1
79,תל אביב יפו,הירקון 78,דירה,11000,2.0,57,0,1,1,0,1,0,0,1,0,1,1
80,תל אביב יפו,פתחיה מרגנשבורג 25,דירה,13500,5.0,140,2,1,1,0,0,0,0,1,1,1,1
81,תל אביב יפו,בושם 87,דירה,5500,1.0,70,1,1,1,1,0,1,0,0,0,0,0
82,תל אביב יפו,דרך שלמה 115,דירה,5960,1.0,67,2,1,0,0,1,1,1,0,0,0,0
